"code_commune","nom_commune","departement","population","nb_cambriolages","taux_pour_mille"
"14762","Vire",NA,17457,43,4.3287673
"15002","Alleuze","15",224,0,0
"15004","Andelat","15",468,0,0
"15007","Anterrieux","15",122,0,0
"15008","Antignac","15",284,0,0
"15009","Apchon","15",177,0,0
"15010","Arches","15",192,0,0
"15011","Arnac","15",174,0,0
"15012","Arpajon-sur-Cère","15",6361,5,1.4819159
"15013","Auriac-l'Église","15",141,0,0
"15014","Aurillac","15",26214,20,1.1382351
"15015","Auzers","15",159,0,0
"15017","Badailhac","15",129,0,0
"15021","Boisset","15",665,0,0
"15022","Bonnac","15",158,0,0
"15024","Brageac","15",78,0,0
"15025","Albepierre-Bredons","15",242,0,0
"15026","Brezons","15",177,0,0
"15029","Cassaniouze","15",505,0,0
"15031","Celles","15",217,0,0
"15032","Celoux","15",59,0,0
"15033","Cézens","15",218,0,0
"15034","Chaliers","15",139,0,0
"15035","Chalinargues","15",304,0,0
"15037","Champagnac","15",1020,0,0
"15041","La Chapelle-d'Alagnon","15",256,0,0
"15043","Charmensac","15",71,0,0
"15046","Chaussenac","15",218,0,0
"15047","Chavagnac","15",88,0,0
"15048","Chazelles","15",34,0,0
"15050","Le Claux","15",160,0,0
"15052","Collandres","15",155,0,0
"15053","Coltines","15",427,0,0
"15059","Cussac","15",117,0,0
"15060","Deux-Verges","15",55,0,0
"15061","Dienne","15",235,0,0
"15063","Drugeac","15",321,0,0
"15064","Escorailles","15",82,0,0
"15065","Espinasse","15",79,0,0
"15066","Le Falgoux","15",113,0,0
"15067","Le Fau","15",34,0,0
"15069","Ferrières-Saint-Mary","15",235,0,0
"15072","Freix-Anglards","15",215,0,0
"15076","Glénat","15",178,0,0
"15077","Gourdièges","15",70,0,0
"15081","Jou-sous-Monjou","15",112,0,0
"15082","Junhac","15",286,0,0
"15084","Labesserette","15",302,0,0
"15085","Labrousse","15",478,0,0
"15087","Lacapelle-del-Fraisse","15",394,0,0
"15093","Lapeyrugue","15",90,0,0
"15096","Lascelle","15",260,0,0
"15097","Lastic","15",109,0,0
"15098","Laurie","15",84,0,0
"15100","Laveissenet","15",137,0,0
"15102","Lavigerie","15",116,0,0
"15103","Leucamp","15",244,0,0
"15105","Leyvaux","15",37,0,0
"15107","Lorcières","15",162,0,0
"15113","Mandailles-Saint-Julien","15",172,0,0
"15120","Mauriac","15",3449,14,5.9699688
"15123","Méallet","15",153,0,0
"15124","Menet","15",521,0,0
"15125","Mentières","15",121,0,0
"15128","La Monselie","15",112,0,0
"15131","Le Monteil","15",261,0,0
"15132","Montgreleix","15",31,0,0
"15133","Montmurat","15",134,0,0
"15135","Montvert","15",112,0,0
"15139","Narnhac","15",69,0,0
"15142","Neuvéglise",NA,1677,0,0
"15144","Omps","15",314,0,0
"15146","Pailherols","15",143,0,0
"15148","Paulhac","15",431,0,0
"15155","Pradiers","15",81,0,0
"15171","Sainte-Anastasie","15",122,0,0
"15172","Saint-Antoine","15",84,0,0
"15173","Saint-Bonnet-de-Condat","15",113,0,0
"15174","Saint-Bonnet-de-Salers","15",246,0,0
"15176","Saint-Chamant","15",237,0,0
"15178","Saint-Cirgues-de-Jordanne","15",133,0,0
"15179","Saint-Cirgues-de-Malbert","15",248,0,0
"15180","Saint-Clément","15",80,0,0
"15182","Saint-Étienne-Cantalès","15",127,0,0
"15183","Saint-Étienne-de-Carlat","15",119,0,0
"15185","Saint-Étienne-de-Chomeil","15",241,0,0
"15186","Sainte-Eulalie","15",230,0,0
"15187","Saint-Flour","15",6391,5,1.2301259
"15190","Saint-Hippolyte","15",99,0,0
"15194","Saint-Julien-de-Toursac","15",103,0,0
"15198","Sainte-Marie","15",98,0,0
"15199","Saint-Martial","15",71,0,0
"15201","Saint-Martin-sous-Vigouroux","15",217,0,0
"15205","Saint-Paul-de-Salers","15",105,0,0
"15206","Saint-Pierre","15",146,0,0
"15207","Saint-Poncy","15",339,0,0
